[2025-07-25 09:07:35] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 76800 | Image: None
[2025-07-25 09:07:43] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:07:47] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 76800 | Image: None
[2025-07-25 09:07:50] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:07:54] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Samyak | Image: None
[2025-07-25 09:07:58] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 76800 | Image: None
[2025-07-25 09:08:00] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:08:08] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 283 | Image: None
[2025-07-25 09:08:10] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:08:18] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 610 | Image: None
[2025-07-25 09:08:20] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:08:28] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 780 | Image: None
[2025-07-25 09:08:30] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:08:38] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 104 | Image: None
[2025-07-25 09:08:40] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:08:48] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 110 | Image: None
[2025-07-25 09:08:51] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:08:58] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 135 | Image: None
[2025-07-25 09:09:00] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:09:08] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 120 | Image: None
[2025-07-25 09:09:10] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:09:18] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 107 | Image: None
[2025-07-25 09:09:20] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:49:24] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 76800 | Image: None
[2025-07-25 09:49:26] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:49:34] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 170 | Image: None
[2025-07-25 09:49:36] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:49:44] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 661 | Image: None
[2025-07-25 09:49:46] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
[2025-07-25 09:49:54] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 203 | Image: None
[2025-07-25 09:49:56] OBJECT ALERT - Camera: 0 | Severity: high | Message: Object detected: person | Image: image_path
